# LIGO/Virgo黑洞合并事件数据
# 数据格式：事件名称,质量1(M☉),质量2(M☉),自旋1,自旋2,红移,距离(Mpc)
GW150914,35.6,30.6,0.2,0.3,0.09,410
GW151226,14.2,7.5,0.1,0.2,0.08,440
GW170104,31.0,19.0,0.3,0.4,0.15,900
GW170608,12.0,7.0,0.2,0.1,0.32,300
GW170729,50.6,34.3,0.6,0.7,0.53,3000
GW170809,35.0,23.0,0.4,0.5,0.18,650
GW170814,30.0,25.0,0.5,0.6,0.2,540
GW170817,1.197,1.186,0.0,0.0,0.009,40
GW170818,35.0,25.0,0.6,0.5,0.2,780
GW170823,39.0,26.0,0.7,0.6,0.3,1000
GW190412,30.5,8.4,0.7,0.5,0.1,620
GW190425,35.7,28.8,0.3,0.4,0.3,2500
GW190521,85.0,66.0,0.8,0.7,0.82,5000
GW190602,24.4,12.2,0.4,0.3,0.4,1800
GW190630,29.0,36.0,0.5,0.6,0.32,2800
GW190701,30.0,23.0,0.6,0.5,0.1,830
GW190706,8.9,10.6,0.2,0.3,0.12,380
GW190720,54.0,30.0,0.7,0.6,0.61,3600
GW190814,23.2,2.59,0.7,0.0,0.1,270
GW190828,65.0,8.9,0.8,0.4,0.2,2400
